,Handle,Title,Type,description,craft,fabric,color,Product Types,Description
20,izel-tunic-set-3563,Izel Tunic Set,Tunic Set,"This greenish-white A-line tunic set, crafted from handwoven silk chanderi, features a touch neckline, full sleeves, and a gathered front yoke. Paired with tulip pants, the ensemble is adorned with multicolour silk thread embroidery, enhanced with beadwork, and finished with contrast piping.","Thread Embroidery, Bead Work","Chanderi, Silk","Green, White",Tunic Set,"The dress is a light beige, possibly linen or cotton, long-sleeved tunic with a gathered bodice and floral embroidery featuring purple and green hues scattered across the fabric, including the sleeves and neckline, paired with matching salwar pants that also have floral embroidery along the hems and side seams.
"
21,ziana-tunic-set-3562,Ziana Tunic Set,Tunic Set,"This light yellow A-line tunic set, crafted from handwoven silk chanderi, features a touch neckline, full sleeves, and a gathered yoke. It is paired with tulip pants, and the ensemble is adorned with multicolour silk thread embroidery, enhanced with beadwork, and finished with contrast piping.","Thread Embroidery, Bead Work","Chanderi, Silk",Yellow,Tunic Set,"The dress is a light golden-yellow, two-piece salwar kameez suit with a round-neck, long-sleeved tunic featuring a gathered bodice and a white trim at the hem, paired with matching salwar pants that have a unique tulip-style cut at the ankles and both pieces are adorned with delicate floral embroidery in white and green.
"
22,naz-tunic-set-3561,Naz Tunic Set,Tunic Set,"This light yellow A-line tunic set, crafted from handwoven silk chanderi, features a touch neckline, three-quarter sleeves, a gathered back yoke, and is paired with straight-fit pants. The ensemble is adorned with multicolour silk thread embroidery and finished with contrast piping.",Thread Embroidery,"Chanderi, Silk",Yellow,Tunic Set,"The dress is a light yellow two-piece set consisting of a tunic and pants, both adorned with delicate floral embroidery in white and brown, the tunic has a round neckline, three-quarter sleeves, and a flared silhouette, while the pants are straight-legged and feature similar floral detailing near the hems, both pieces are trimmed with a thin white border along the edges.
"
23,hifza-tunic-set-3560,Hifza Tunic Set,Tunic Set,"This pastel pink A-line tunic set, made from handwoven silk chanderi, features touch neckline, three-quarter sleeves, a gathered back yoke, and is paired with straight-fit pants. The ensemble is adorned with multicolour silk thread embroidery and finished with contrast piping",Thread Embroidery,"Chanderi, Silk",Pink,Tunic Set,"The dress is a light pink two-piece set featuring a tunic-style top with three-quarter sleeves and straight-leg pants, both adorned with delicate floral embroidery in shades of pink and green, finished with a white zig-zag stitched hem.
"
24,yasira-kaftan-set-3559,Yasira Kaftan Set,Kaftan Set,"This light yellow asymmetrical kaftan top, crafted from handwoven chanderi mulmul, features a V-neckline and is paired with a draped skirt. The outfit is adorned with aari embroidery in multicolour silk threads, and finished with contrast piping and beaded lace along the hemline.","Zari Work, Aari Embroidery, Bead Work","Chanderi, Mulmul",Yellow,Kaftan Set,"The dress is a light beige, two-piece ensemble featuring a tunic-style top with a V-neckline and a long skirt; the top is adorned with floral embroidery in shades of beige, white, and green around the neckline and shoulders, and the hem of the top is finished with a delicate fringe; the skirt is long and flowing, with a subtle sheen, and appears to have a slit or draped effect.
"
25,maliha-kaftan-set-3558,Maliha Kaftan Set,Kaftan Set,"This ice blue asymmetrical kaftan, crafted from handwoven chanderi mulmul, features a boat neckline and is paired with straight-fit pants in handwoven silk chanderi satin stripe fabric. The outfit showcases aari embroidery with multicolour silk threads, outlined with zari work, and is finished with contrast piping.","Zari Work, Aari Embroidery","Chanderi, Mulmul, Silk, Cotton",Blue,Kaftan Set,"The dress is a light gray, semi-sheer kaftan-style top with a boat neckline and an asymmetrical hemline, featuring delicate floral embroidery in shades of pink, brown, and green along the neckline and hem, paired with matching light gray striped pants also adorned with floral embroidery at the hem.
"
26,huda-long-kurta-set-3557,Huda Long Kurta Set,Long Kurta Set,"This ice blue long kurta, crafted from handwoven silk chanderi, features a V-neckline and three-quarter sleeves. It is paired with loose-fit pants in handwoven silk chanderi satin striped fabric and a matching handwoven chanderi mulmul dupatta. The outfit is adorned with multicolour silk thread embroidery, enhanced with zari, and finished with contrast piping.","Zari Work, Thread Embroidery","Chanderi, Silk, Mulmul",Blue,Kurta Set,"The dress is a light gray, three-quarter sleeve kurta with a V-neckline, adorned with intricate floral embroidery in white and yellow around the neckline and scattered throughout the garment, featuring a delicate white scalloped trim along the edges and paired with matching striped palazzo pants with similar floral embroidery at the hem.
"
27,iffat-long-kurta-set-3556,Iffat Long Kurta Set,Long Kurta Set,"This pastel pink long kurta, crafted from handwoven silk chanderi, features a V-neckline and three-quarter sleeves. It is paired with loose-fit pants in handwoven silk chanderi satin striped fabric and a matching handwoven chanderi mulmul dupatta. The outfit is adorned with multicolour silk thread embroidery, enhanced with zari, and finished with contrast piping.","Zari Work, Thread Embroidery","Chanderi, Silk, Mulmul",Pink,Kurta Set,"The dress is a light pink salwar kameez with a V-neckline, adorned with delicate floral embroidery in white and yellow around the neckline, sleeves, and hem, the kurta has a relaxed fit with three-quarter sleeves, and the dupatta is sheer with a scalloped edge.
"
28,yasim-long-kurta-set-3555,Yasim Long Kurta Set,Long Kurta Set,"This pastel pink sleeveless long kurta, crafted from handwoven silk chanderi, features a mandarin collar with a slit. It is paired with straight-fit pants and a matching handwoven chanderi mulmul dupatta. The ensemble is adorned with multicolour silk thread embroidery and finished with contrast piping.",Thread Embroidery,"Chanderi, Silk, Mulmul",Pink,Kurta Set,"The dress is a light pink sleeveless kurta with a high collar featuring a small V-neck slit, adorned with floral embroidery in shades of pink and gold, and a geometric patterned border along the neckline and hem, paired with matching light pink flared pants that also have floral embroidery and a geometric border at the hem.
"
29,riva-long-kurta-set-3554,Riva Long Kurta Set,Long Kurta Set,"This light yellow sleeveless long kurta, crafted from handwoven silk chanderi, features a mandarin collar with a slit. It is paired with straight-fit pants and a matching handwoven chanderi mulmul dupatta. The ensemble is adorned with multicolour silk thread embroidery and finished with contrast piping.",Thread Embroidery,"Chanderi, Silk, Mulmul",Yellow,Kurta Set,"The dress is a light beige, sleeveless kurta with a high collar and a small slit at the neckline, featuring intricate floral embroidery in shades of yellow and brown, and is adorned with a geometric arrow pattern along the edges of the collar, front opening, and hemline, paired with matching palazzo pants that also have floral embroidery and the same geometric border at the hem.
"
30,mishka-long-anarkali-set-3553,Mishka Long Anarkali Set,Long Anarkali Set,This pastel pink and light yellow asymmetrical long anarkali in handwoven chanderi mulmul features a V-neckline and churidhar sleeves. It is paired with tulip pants in handwoven silk chanderi satin stripe fabric and a pastel pink handwoven chanderi mulmul dupatta. The ensemble is adorned with multicolour silk thread embroidery and finished with piping at the hem.,Thread Embroidery,"Chanderi, Mulmul, Silk","Pink, Yellow",Anarkali Set,"The dress is a light pink Anarkali suit with a V-neckline, floral embroidery on the yoke and sleeves, striped pattern on the sleeves and pants, and a dupatta with a decorative border.
"
31,parisa-long-anarkali-set-3552,Parisa Long Anarkali Set,Long Anarkali Set,"This ice blue and pastel yellow asymmetrical long anarkali in handwoven chanderi mulmul features a V-neckline and churidhar sleeves. It is paired with tulip pants in handwoven silk chanderi satin stripe fabric, along with an ice blue handwoven chanderi mulmul dupatta. The ensemble is adorned with multicolour silk thread embroidery and finished with delicate piping at the hem.",Thread Embroidery,"Chanderi, Mulmul, Silk","Blue, Yellow",Anarkali Set,
32,quirat-short-kurta-set-3551,Quirat Short Kurta Set,Short Kurta Set,"This greenish-white A-line short kurta, crafted from handwoven silk chanderi, features a V-neckline and three-quarter bell sleeves. It is paired with loose-fit pants and a matching handwoven chanderi mulmul dupatta. The ensemble is adorned with cotton thread embroidery accented with multicolour silk threads, enhanced with zari, and finished with contrast piping","Zari Work, Thread Embroidery, Thread Embroidery","Chanderi, Silk, Mulmul","White, Green",Kurta Set,"The dress is a light cream-colored three-piece suit featuring a short, loose-fitting tunic with a V-neckline and short sleeves, adorned with delicate floral embroidery in shades of light blue and cream along the neckline and hem, paired with wide-legged pants that have matching floral embroidery and a subtle dotted pattern near the hem, and a sheer dupatta with similar floral embroidery and a light green border.
"
33,kenza-short-kurta-set-3550,Kenza Short Kurta Set,Short Kurta Set,"This pastel yellow A-line short kurta, crafted from handwoven silk chanderi, features a V-neckline and three-quarter bell sleeves. It is paired with loose-fit pants and a matching handwoven chanderi mulmul dupatta. The ensemble is adorned with cotton thread embroidery accented with multicolour silk threads, enhanced with zari, and finished with contrast piping.","Zari Work, Thread Embroidery, Thread Embroidery","Chanderi, Silk, Mulmul",Yellow,Kurta Set,"The dress is a light yellow three-piece suit featuring a short, flared tunic with a V-neckline and three-quarter sleeves, paired with wide-legged pants, and a matching dupatta, all adorned with delicate white floral embroidery and a white border trim.
"
34,simrat-long-anarkali-set-3549,Simrat Long Anarkali Set,Long Anarkali Set,"This light yellow long anarkali in handwoven chanderi mulmul features a touch neckline and full sleeves. It is paired with loose-fit pants in handwoven silk chanderi striped doria fabric, and a dupatta crafted from handwoven silk chanderi satin stripe fabric. The set is adorned with multicolour silk thread aari embroidery, enhanced with beadwork, and finished with contrast piping and lace detailing at the hem.","Aari Embroidery, Bead Work, Lace Work","Chanderi, Mulmul, Silk",Yellow,Anarkali Set,"The dress is a light cream-colored Anarkali suit with a round neckline and three-quarter sleeves, featuring intricate floral embroidery in pastel shades of pink, green, and purple around the neckline and sleeves, the bodice has a detailed embroidered pattern, and the skirt is heavily pleated, accompanied by a matching dupatta with similar floral embroidery and a delicate pink border.
"
35,avisha-long-anarkali-set-3548,Avisha Long Anarkali Set,Long Anarkali Set,"This greenish-white long anarkali in handwoven silk chanderi features a touch neckline and three-quarter sleeves. It is paired with flared pants and a handwoven chanderi mulmul dupatta. The set is adorned with delicate silk thread embroidery, enhanced with zari work, and finished with matching piping and lace detailing at the hem.","Zari Work, Thread Embroidery, Lace Work","Chanderi, Silk, Mulmul","White, Green",Anarkali Set,"The ensemble features a light beige Anarkali kurta with three-quarter sleeves, adorned with intricate blue floral embroidery on the bodice, sleeves, and hem, paired with matching wide-legged palazzo pants also embellished with floral embroidery along the hem, and a coordinating dupatta with delicate floral motifs and a subtle gold border.
"
36,israt-jumpsuit-3547,Israt Jumpsuit,Jumpsuit,"This greenish-white asymmetrical pleated jumpsuit with straps in handwoven silk chanderi is paired with a three quarter sleeve jacket. The set is adorned with aari embroidery with multicolour silk threads, outlined with zari work. It is finished with lace at the hemline of the jacket.","Zari Work, Aari Embroidery, Lace Work","Chanderi, Silk","White, Green",Jumpsuit,"The dress is a light beige, full-length gown with a V-neckline and a pleated design, featuring delicate floral embroidery along the hem.
"
37,rehana-jumpsuit-3546,Rehana Jumpsuit,Jumpsuit,"This sage green asymmetrical jumpsuit with straps, crafted in handwoven chanderi mulmul, is paired with a sleeveless jacket. The set features multicoloured silk thread embroidery and is finished with matching piping and bead detailing at the hem of the jacket.","Thread Embroidery, Bead Work","Chanderi, Mulmul",Green,Jumpsuit,"The dress is a light green jumpsuit with a sleeveless vest, the vest has floral embroidery and a beaded trim, the jumpsuit has a drawstring neckline and a draped, asymmetrical hem.
"
38,zanera-short-kurta-set-3545,Zanera Short Kurta Set,Short Kurta Set,"This pastel yellow A-line short kurta is made from handwoven silk chanderi. It has a mandarin collar with a slit and bell sleeves. It comes with a Pakistani salwar and a matching handwoven chanderi mulmul dupatta. The outfit is decorated with appliqué work with multicolour silk threads, enhanced with Swarovski crystals and finished with matching piping.","Thread Embroidery, Applique Work, Swarovski","Chanderi, Silk, Mulmul",Yellow,Kurta Set,"The dress is a light golden-beige salwar kameez with a mandarin collar, featuring delicate floral embroidery in white and yellow, the kameez has an open front design, and the salwar is wide-legged with matching embroidery near the hem, a sheer dupatta with a golden border and floral embroidery completes the ensemble.
"
39,zina-short-kurta-set-3544,Zina Short Kurta Set,Short Kurta Set,"This sage green A-line short kurta is made from handwoven silk chanderi. It has a mandarin collar with a slit and bell sleeves. It comes with a Pakistani salwar and a matching handwoven chanderi mulmul dupatta. The outfit is decorated with appliqué work with multicolour silk threads, enhanced with Swarovski crystals and finished with matching piping.","Thread Embroidery, Applique Work, Swarovski","Chanderi, Silk, Mulmul",Green,Kurta Set,"The dress is a light green three-piece suit featuring a tunic with a high collar and a V-shaped neckline, adorned with floral embroidery in shades of pink and white, paired with matching wide-legged pants also embellished with floral embroidery at the hems, and a long, draped shawl with similar floral embroidery along the edges.
"
40,ulfat-long-kurta-set-3543,Ulfat Long Kurta Set,Long Kurta Set,This sage green long kurta is crafted from handwoven silk chanderi. It features a round neckline with a subtle slit and three-quarter sleeves. Paired with loose-fit pants and a matching handwoven chanderi mulmul dupatta. The ensemble is adorned with multicoloured silk thread embroidery and finished with matching piping and delicate lace detailing at the hem.,"Thread Embroidery, Lace Work","Silk, Chanderi, Mulmul",Green,Kurta Set,"The ensemble features a light green kurta with a mandarin collar and three-quarter sleeves, adorned with intricate floral embroidery in shades of peach, white, and green along the front panel and hem, paired with striped palazzo pants in a coordinating light green hue, and a matching dupatta with delicate embroidery and a scalloped edge.
"
41,azeena-long-kurta-set-3542,Azeena Long Kurta Set,Long Kurta Set,This ice-blue long kurta is made from handwoven silk chanderi. It has a round neck with a small slit and three-quarter sleeves. It comes with loose-fit pants and a matching handwoven chanderi mulmul dupatta. The outfit is decorated with multicolour silk thread embroidery and finished with matching piping and lace at the hem.,"Thread Embroidery, Lace Work","Silk, Chanderi, Mulmul",Blue,Kurta Set,"The dress is a light gray, long-sleeved kurta with a V-neck, adorned with intricate floral embroidery in shades of gold and green along the neckline, front opening, and hem, accompanied by a matching dupatta with similar floral embroidery and a delicate scalloped edge.
"
42,rubina-jumpsuit-3540,Rubina Jumpsuit,Jumpsuit,"This light yellow one-shoulder layered jumpsuit in pure georgette features asymmetrical sleeves. The set is adorned with sequin and 3D embroidery, enhanced with beads and pearls, and is finished with matching piping.","Sequin Embroidery, 3D Embroidery, Bead Work, Pearl Work, Swarovski",Georgette,Yellow,Jumpsuit,"The dress is a light yellow, one-shoulder gown with a layered, asymmetrical bodice and wide-legged pants, featuring delicate floral embroidery and beadwork along the shoulder and down the side of the flowing cape-like sleeve.
"
43,zuhaira-jumpsuit-3539,Zuhaira Jumpsuit,Jumpsuit,"This pastel yellow layered jumpsuit in pure georgette features asymmetrical sleeves and a V-neckline. The set is adorned with silk thread embroidery, enhanced with bead work, and finished with Swarovski crystals.","Thread Embroidery, Bead Work, Swarovski",Georgette,Yellow,Jumpsuit,"The dress is a light yellow jumpsuit with wide-leg pants, featuring a V-neck top with a cape-like overlay adorned with white floral embroidery around the neckline and shoulders, and similar floral embroidery accents on the lower part of the pants.
"
44,zayna-dress-3538,Zayna Dress,Dress,"This greenish-white long dress set features a pure georgette slip dress paired with a pure silk organza cape, designed with a round neckline and a belt. The set showcases aari and sequin embroidery, enhanced with pearl work. It is finished with matching piping, beads, and Swarovski crystals at the hem.","Aari Embroidery, Sequin Embroidery, Pearl Work, Swarovski","Silk, Organza, Georgette","White, Green",Dress,"The dress is a light, possibly off-white or very pale blue, sleeveless gown with intricate floral embroidery and embellishments throughout, featuring a defined waistline with a decorative belt and a long, flowing skirt with matching embroidery along the hem and side borders.
"
45,shifa-draped-skirt-set-3537,Shifa Draped Skirt Set,Draped Skirt Set,"This pastel pink draped skirt set features a pure silk-satin bustier with straps, a pure silk organza crop top, and an asymmetrical draped skirt. The set showcases multicolour sequin embroidery and is finished with beads and Swarovski crystals at the hem of the skirt.","Sequin Embroidery, Bead Work, Swarovski","Chiffon, Silk, Organza, Satin",Pink,Skirt & Top,"The dress is a light pink two-piece outfit consisting of a sheer, cropped top with white floral embroidery and a matching long, flowing skirt with a floral-embroidered waistband and vertical silver beaded strands.
"
46,eiaf-cape-set-3535,Eiaf Cape Set,Cape Set,"This sage green cape set features a pure crepe bustier with straps, tulip pants, and a front-open cape in pure silk organza. The set showcases aari and sequin embroidery, enhanced with beads. It is finished with matching piping, bead detailing, and Swarovski crystals at the hem of the cape.","Aari Embroidery, Sequin Embroidery, Bead Work, Swarovski","Silk, Organza, Crepe",Green,Cape Set,
47,sia-short-kurta-set-3534,Sia Short Kurta Set,Short Kurta Set,"This sage green short kurta in handwoven cotton tissue features a touch neckline with a slit and loose-fit full sleeves. It is paired with a Farshi salwar and a pure silk organza dupatta. The set showcases aari embroidery with multicolour silk threads, enhanced with sequins and zari, and is finished with contrast piping and Swarovski crystals.","Aari Embroidery, Thread Embroidery, Sequin Embroidery, Zari Work, Swarovski","Georgette, Cotton, Tissue",Green,Kurta Set,"The ensemble features a light green, long-sleeved tunic with a mandarin collar and a V-shaped neckline adorned with a row of pink and white floral embroidery, the tunic is embellished with intricate white and pink floral and vine-like embroidery patterns, and it is paired with wide-legged, peach-colored pants that have a decorative embroidered border at the hem, complemented by a light green dupatta with matching embroidery and a scalloped edge.
"
48,afiya-long-kurta-set-3531,Afiya Long Kurta Set,Long Kurta Set,"This white-beige long kurta in pure silk organza features a front-open V-neckline and full sleeves. It is paired with loose-fit pants and a matching pure silk organza dupatta. The set showcases multicolour silk thread and sequin embroidery, enhanced with zari and beads. It is finished with matching piping and Swarovski crystal detailing.","Thread Embroidery, Zari Work, Sequin Embroidery, Bead Work, Swarovski","Silk, Organza","White, Beige",Kurta Set,"The dress is a light beige three-piece suit featuring a V-neck kurta with floral embroidery along the neckline and front panel, matching wide-leg trousers with embroidered hems, and a sheer dupatta with embroidered edges and floral accents.
"
49,ivy-short-anarkali-set-3527,Ivy Short Anarkali Set,Short Anarkali Set,"This greenish-white short anarkali in pure silk organza features a halter neckline and is paired with a pure crepe harem salwar and a pure silk organza dupatta. The set showcases multicolour silk thread and sequin embroidery with dabka work, enhanced with beads. It is finished with matching piping, Swarovski crystals, and lace detailing at the hem.","Thread Embroidery, Dabka Work, Sequin Embroidery, Bead Work, Lace Work, Swarovski","Silk, Organza, Georgette, Crepe","White, Green",Anarkali Set,"The dress is a light-colored, sleeveless salwar kameez with a halter neckline, featuring intricate floral embroidery in shades of blue, green, and gold around the neckline, bodice, and hem, paired with a matching dupatta adorned with similar embroidery along the borders and salwar with small dotted pattern.
"
